symptome,panne,systeme
voyant batterie allume et demarrage difficile,alternateur defectueux,electrique
demarrage impossible avec voyant batterie qui clignote,alternateur defectueux,electrique
la voiture perd de la puissance electrique en roulant,alternateur defectueux,electrique
bruit de grincement du moteur avec voyant batterie allume,alternateur defectueux,electrique
voiture ne demarre pas du tout silence total,batterie a plat,electrique
aucun bruit en tournant la cle de contact,batterie a plat,electrique
les phares ne s allument plus et voiture ne demarre pas,batterie a plat,electrique
demarreur muet et tableau de bord eteint,batterie a plat,electrique
demarrage difficile par temps froid,batterie faible ou usee,electrique
la voiture met du temps a demarrer le matin,batterie faible ou usee,electrique
demarrage laborieux apres plusieurs jours sans rouler,batterie faible ou usee,electrique
moteur qui peine a demarrer quand il fait froid,batterie faible ou usee,electrique
bruit de grincement fort au freinage,plaquettes de frein usees,freinage
grincement metallique quand j appuie sur le frein,plaquettes de frein usees,freinage
freinage bruyant surtout a basse vitesse,plaquettes de frein usees,freinage
sifflement aigu au freinage,plaquettes de frein usees,freinage
pedale de frein spongieuse,air dans le circuit de freinage,freinage
pedale de frein qui s enfonce facilement,air dans le circuit de freinage,freinage
sensation de mollesse en appuyant sur le frein,air dans le circuit de freinage,freinage
frein qui repond mal meme en appuyant fort,air dans le circuit de freinage,freinage
vibration dans le volant au freinage,disques de frein voiles,freinage
le volant tremble quand je freine,disques de frein voiles,freinage
secousses dans la direction lors du freinage,disques de frein voiles,freinage
volant qui vibre fort en freinant a haute vitesse,disques de frein voiles,freinage
voiture tire d un cote au freinage,etrier de frein grippe,freinage
la voiture devie sur la droite quand je freine,etrier de frein grippe,freinage
freinage asymetrique la voiture part sur le cote,etrier de frein grippe,freinage
une roue chauffe plus que les autres apres un trajet,etrier de frein grippe,freinage
ralenti instable et voyant moteur allume,bougies usees,allumage
le moteur tremble au ralenti avec voyant allume,bougies usees,allumage
a coups au ralenti et perte de puissance legere,bougies usees,allumage
moteur qui broute et consomme plus que d habitude,bougies usees,allumage
demarrage difficile et perte de puissance,bobine d allumage defectueuse,allumage
le moteur tousse et perd de la puissance en acceleration,bobine d allumage defectueuse,allumage
a coups violents a l acceleration avec voyant moteur,bobine d allumage defectueuse,allumage
moteur qui cale frequemment en roulant,bobine d allumage defectueuse,allumage
odeur de brule et fumee sous le capot,court circuit electrique,electrique
fumee qui sort du tableau de bord,court circuit electrique,electrique
odeur de plastique brule dans l habitacle,court circuit electrique,electrique
etincelles visibles sous le capot,court circuit electrique,electrique
clignotants qui clignotent trop vite,ampoule de clignotant grillee,electrique
